@RELATION 2004-sprat
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {True, False}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {True, False}
@DATA
NOUN, NOUN, True, 4, 1, 7, 7, 1.0, 1.0, 1.0, 0.21791525990174362, 0.21791525990174362, 0.911993682384491, True
NOUN, NOUN, True, 3, 1, 8, 7, 1.1428571428571428, 0.4, 0.5337314009666443, 0.041056570427769765, 0.041056570427769765, 0.005745106842368841, False
NOUN, NOUN, True, 5, 6, 6, 7, 0.8571428571428571, 0.3076923076923077, 0.47743675112724304, 0.04892612031708892, 0.04892612031708892, 0.005180578678846359, False
NOUN, NOUN, True, 7, 7, 10, 7, 1.4285714285714286, 0.23529411764705888, 0.6649813055992126, 0.07617268888065937, 0.07617268888065937, 0.0049393558874726295, False
NOUN, NOUN, True, 3, 1, 6, 7, 0.8571428571428571, 0.3076923076923077, 0.648381769657135, 0.05600760363906471, 0.05600760363906471, 0.0024162842892110348, True
NOUN, NOUN, True, 4, 3, 10, 7, 1.4285714285714286, 0.3529411764705882, 0.7178588509559631, 0.04998550737605732, 0.04998550737605732, 0.0020231117960065603, False
NOUN, NOUN, True, 2, 5, 7, 7, 1.0, 0.1428571428571429, 0.4554287791252136, 0.015944222734424442, 0.015944222734424442, 0.001960911089554429, False
NOUN, PROPN, False, 4, 3, 10, 7, 1.4285714285714286, 0.3529411764705882, 0.7178588509559631, 0.04998550737605732, 0.04998550737605732, 0.0011225166963413358, False
NOUN, PROPN, False, 3, 1, 8, 7, 1.1428571428571428, 0.4, 0.5337314009666443, 0.041056570427769765, 0.041056570427769765, 0.0010647394228726625, False
NOUN, NOUN, True, 1, 0, 4, 7, 0.5714285714285714, 0.18181818181818177, 0.5191066265106201, 0.08300664447172132, 0.08300664447172132, 0.0009126770310103893, True
NOUN, NOUN, True, 6, 3, 8, 7, 1.1428571428571428, 0.1333333333333333, 0.5811365842819214, 0.04918036557818015, 0.04918036557818015, 0.0007951371953822672, True
NOUN, NOUN, True, 8, 9, 10, 7, 1.4285714285714286, 0.23529411764705888, 0.37424251437187195, 0.024048134114153488, 0.024048134114153488, 0.0007864433573558927, False
NOUN, NOUN, True, 3, 0, 6, 7, 0.8571428571428571, 0.15384615384615385, 0.29799607396125793, 0.12218902006809389, 0.12218902006809389, 0.0005965497111901641, True
NOUN, NOUN, True, 1, 0, 6, 7, 0.8571428571428571, 0.6153846153846154, 0.5617806315422058, 0.16217121825525294, 0.16217121825525294, 0.0005824495456181467, True
NOUN, NOUN, True, 8, 4, 8, 5, 1.6, 0.15384615384615385, 0.4141869843006134, 0.018237522171430834, 0.018237522171430834, 0.48720529675483704, False
NOUN, NOUN, True, 1, 0, 6, 5, 1.2, 0.36363636363636365, 0.40622466802597046, 0.16217121825525294, 0.16217121825525294, 0.08053778856992722, True
NOUN, NOUN, True, 4, 6, 7, 5, 1.4, 0.33333333333333337, 0.407315731048584, 0.019914673795264914, 0.019914673795264914, 0.023269101977348328, False
NOUN, NOUN, True, 7, 7, 8, 5, 1.6, 0.15384615384615385, 0.2283327281475067, 0.018566097479856852, 0.018566097479856852, 0.018077703192830086, False
NOUN, NOUN, True, 5, 3, 5, 5, 1.0, 0.19999999999999996, 0.5493988394737244, 0.02325501959939799, 0.02325501959939799, 0.015954580157995224, True
NOUN, NOUN, True, 2, 3, 4, 5, 0.8, 0.2222222222222222, 0.2877849340438843, 0.02036811967518861, 0.02036811967518861, 0.013117124326527119, True
NOUN, NOUN, True, 1, 3, 8, 5, 1.6, 0.15384615384615385, 0.29186737537384033, 0.01565678768614084, 0.01565678768614084, 0.013104044832289219, False
NOUN, NOUN, True, 0, 0, 5, 5, 1.0, 0.19999999999999996, 0.0820547565817833, 0.07674068279130268, 0.07674068279130268, 0.01002421136945486, False
NOUN, NOUN, True, 4, 7, 8, 5, 1.6, 0.15384615384615385, 0.43435603380203247, 0.014418649197450234, 0.014418649197450234, 0.008329120464622974, False
NOUN, NOUN, True, 2, 6, 4, 5, 0.8, 0.4444444444444444, 0.22870731353759766, 0.022610134390913365, 0.022610134390913365, 0.007711578160524368, False
NOUN, NOUN, True, 7, 6, 7, 5, 1.4, 0.16666666666666663, 0.4621620774269104, 0.024892717741891703, 0.024892717741891703, 0.006215330678969622, True
NOUN, NOUN, True, 6, 6, 8, 5, 1.6, 0.3076923076923077, 0.2738170027732849, 0.03569325922590891, 0.03569325922590891, 0.005661800503730774, False
NOUN, NOUN, True, 4, 2, 3, 5, 0.6, 0.25, 0.2911529541015625, 0.05575752520481094, 0.05575752520481094, 0.005658135283738375, False
NOUN, NOUN, True, 3, 3, 6, 5, 1.2, 0.18181818181818177, 0.30968350172042847, 0.015369762252204646, 0.015369762252204646, 0.005609308369457722, False
